process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-180603,46.0,35.0,21213.0,8.0,0.5679012345679012,0.8518518518518519,0.9979814101962257,0.6814814814814814,0.6946306566121226,0.6237184934257549
R-HSA-181450,12.0,112.0,21140.0,38.0,0.0967741935483871,0.24,0.9929584076612524,0.1379310344827586,0.14931382443034927,0.03598567149507488
R-HSA-187574,38.0,15.0,21230.0,19.0,0.7169811320754716,0.6666666666666666,0.9984039057365506,0.6909090909090909,0.6905691296173039,0.6135615816858774
R-HSA-188191,50.0,4.0,21232.0,16.0,0.9259259259259259,0.7575757575757576,0.9990611210215004,0.8333333333333334,0.8370867972403193,0.8255587819546175
R-HSA-192704,67.0,59.0,21156.0,20.0,0.5317460317460317,0.7701149425287356,0.9962914280349263,0.6291079812206573,0.638202186954044,0.5572166816494372
R-HSA-192841,67.0,59.0,21154.0,22.0,0.5317460317460317,0.7528089887640449,0.9961975401370763,0.6232558139534884,0.6309080974034762,0.5308283025711311
R-HSA-205039,35.0,342.0,20908.0,17.0,0.09283819628647215,0.6730769230769231,0.9831471223359309,0.16317016317016317,0.2458848290882928,0.06885954932116006
R-HSA-209061,39.0,32.0,21218.0,13.0,0.5492957746478874,0.75,0.9978875222983757,0.6341463414634145,0.6408481443397356,0.4391935468239117
R-HSA-211715,39.0,32.0,21220.0,11.0,0.5492957746478874,0.78,0.9979814101962257,0.6446280991735538,0.653620885034915,0.45027270782197387
R-HSA-212222,18.0,100.0,21136.0,48.0,0.15254237288135594,0.2727272727272727,0.9930522955591025,0.1956521739130435,0.20069094008304997,0.06445236882631149
R-HSA-212252,24.0,167.0,21067.0,44.0,0.1256544502617801,0.35294117647058826,0.9900948267768285,0.18532818532818532,0.20649739357037028,0.07595239193285576
R-HSA-212263,24.0,167.0,21067.0,44.0,0.1256544502617801,0.35294117647058826,0.9900948267768285,0.18532818532818532,0.20649739357037028,0.07595239193285576
R-HSA-212269,18.0,100.0,21136.0,48.0,0.15254237288135594,0.2727272727272727,0.9930522955591025,0.1956521739130435,0.20069094008304997,0.06445236882631149
R-HSA-2130282,42.0,28.0,21206.0,26.0,0.6,0.6176470588235294,0.9974650267580509,0.608695652173913,0.6074885316537715,0.5399327086688168
R-HSA-2172678,14.0,102.0,21140.0,46.0,0.1206896551724138,0.23333333333333334,0.9930522955591025,0.1590909090909091,0.16457579728098548,0.04190420681843642
