process,TP,FP,TN,FN,precision,recall,accuracy,f_measure,mcc,precision-recall area
R-HSA-3777129,64.0,6.0,21229.0,3.0,0.9142857142857143,0.9552238805970149,0.9995775044596752,0.9343065693430657,0.9343202260580566,0.7474194631845313
R-HSA-3782637,59.0,6.0,21234.0,3.0,0.9076923076923077,0.9516129032258065,0.9995775044596752,0.9291338582677167,0.92918292828596,0.7348664072210033
R-HSA-3782655,59.0,6.0,21234.0,3.0,0.9076923076923077,0.9516129032258065,0.9995775044596752,0.9291338582677167,0.92918292828596,0.7368819715112355
R-HSA-3785711,47.0,3.0,21249.0,3.0,0.94,0.94,0.9997183363064501,0.94,0.9398588368153585,0.7968664889272482
R-HSA-3788745,57.0,6.0,21236.0,3.0,0.9047619047619048,0.95,0.9995775044596752,0.9268292682926829,0.926894872095726,0.7483664899704727
R-HSA-3788748,57.0,6.0,21236.0,3.0,0.9047619047619048,0.95,0.9995775044596752,0.9268292682926829,0.926894872095726,0.7483664899704727
R-HSA-379044,109.0,3.0,21190.0,0.0,0.9732142857142857,1.0,0.9998591681532251,0.9864253393665159,0.9864464107204786,0.9147870188188708
R-HSA-379048,147.0,14.0,21141.0,0.0,0.9130434782608695,1.0,0.9993427847150502,0.9545454545454545,0.9552168562397145,0.8195899679414662
R-HSA-380073,213.0,37.0,21051.0,1.0,0.852,0.9953271028037384,0.9982161299408506,0.9181034482758621,0.9200416386625171,0.8020469411279397
R-HSA-380272,70.0,1.0,21231.0,0.0,0.9859154929577465,1.0,0.999953056051075,0.9929078014184397,0.9929093904284871,0.9450439819331383
R-HSA-380283,80.0,2.0,21220.0,0.0,0.975609756097561,1.0,0.9999061121021501,0.9876543209876543,0.987683052833309,0.9434900034707167
R-HSA-380294,70.0,1.0,21231.0,0.0,0.9859154929577465,1.0,0.999953056051075,0.9929078014184397,0.9929093904284871,0.9450439819331383
R-HSA-380303,70.0,1.0,21231.0,0.0,0.9859154929577465,1.0,0.999953056051075,0.9929078014184397,0.9929093904284871,0.9450439819331383
R-HSA-380311,72.0,1.0,21229.0,0.0,0.9863013698630136,1.0,0.999953056051075,0.993103448275862,0.9931036763378803,0.9461873780040805
