tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,threshold
1.0,35.0,25.0,3318.0,0.027777777777777776,0.038461538461538464,0.03225806451612904,0.02385066967503369,0.0,0.0,0.0,0.03747535545216118
0.0,21.0,16.0,3342.0,0.0,0.0,0.0,-0.0054546370635936295,0.0,0.0,0.0,0.016249768144612188
8.0,413.0,55.0,2903.0,0.019002375296912115,0.12698412698412698,0.03305785123966942,0.0009979300809759516,0.0,0.0,0.0,0.018597834524576966
9.0,916.0,18.0,2437.0,0.00972972972972973,0.3333333333333333,0.018907563025210083,0.012008882919604016,0.0,0.0,0.0,0.008473182469150997
3.0,275.0,19.0,3082.0,0.01079136690647482,0.13636363636363635,0.020000000000000004,0.015935796713273588,0.0,0.0,0.0,0.008269867150309057
5.0,86.0,10.0,3279.0,0.054945054945054944,0.3333333333333333,0.09433962264150943,0.12639225459106346,0.0,0.0,0.0,0.014569178385540695
2.0,201.0,43.0,3133.0,0.009852216748768473,0.044444444444444446,0.016129032258064516,-0.007642788848507269,0.0,0.0,0.0,0.017389376634990746
0.0,96.0,16.0,3268.0,0.0,0.0,0.0,-0.01179141813288527,0.0,0.0,0.0,0.0097938054068418
2.0,123.0,36.0,3218.0,0.016,0.05263157894736842,0.024539877300613498,0.008836288594248665,0.0,0.0,0.0,0.022223381016075624
16.0,459.0,47.0,2857.0,0.03368421052631579,0.25396825396825395,0.05947955390334572,0.04496728100079936,0.0,0.0,0.015873015873015872,0.018533043178744817
1.0,103.0,29.0,3246.0,0.009615384615384616,0.03333333333333333,0.014925373134328358,0.001400100598131794,0.0,0.0,0.0,0.01803739125347373
9.0,415.0,21.0,2935.0,0.02122641509433962,0.3,0.03964757709251101,0.0498718056306632,0.0,0.05,0.03333333333333333,0.012054333266045806
13.0,578.0,16.0,2772.0,0.021996615905245348,0.4482758620689655,0.041935483870967745,0.0669543445149972,0.0,0.0,0.0,0.007877912795816467
7.0,383.0,30.0,2959.0,0.017948717948717947,0.1891891891891892,0.03278688524590164,0.024292536435930295,0.0,0.0,0.0,0.018118390493973693
3.0,47.0,34.0,3295.0,0.06,0.08108108108108109,0.06896551724137931,0.057763214597791074,0.06666666666666667,0.05,0.05405405405405406,0.03189296562512504
1.0,69.0,12.0,3297.0,0.014285714285714285,0.07692307692307693,0.024096385542168672,0.02452420593711422,0.0,0.0,0.0,0.011451258600115496
1.0,7.0,33.0,3338.0,0.125,0.029411764705882353,0.047619047619047616,0.05610213177320125,0.13333333333333333,0.1,0.11764705882352941,0.06239799539230541
0.0,55.0,32.0,3292.0,0.0,0.0,0.0,-0.01257760553851654,0.0,0.0,0.0,0.021233322715096297
6.0,101.0,22.0,3250.0,0.056074766355140186,0.21428571428571427,0.08888888888888889,0.09532980479743466,0.13333333333333333,0.15,0.10714285714285714,0.028343341868844088
0.0,25.0,14.0,3340.0,0.0,0.0,0.0,-0.005568778688914529,0.0,0.0,0.0,0.01841638443358546
0.0,42.0,25.0,3312.0,0.0,0.0,0.0,-0.009685789293141046,0.0,0.0,0.0,0.022804102133939106
1.0,27.0,15.0,3337.0,0.03571428571428571,0.0625,0.045454545454545456,0.041251995378949476,0.06666666666666667,0.05,0.0625,0.02522214507194224
2.0,82.0,19.0,3276.0,0.023809523809523808,0.09523809523809523,0.03809523809523809,0.035746307934644735,0.0,0.0,0.0,0.0177731441716217
7.0,599.0,19.0,2754.0,0.01155115511551155,0.2692307692307692,0.022151898734177215,0.02063229033171482,0.06666666666666667,0.05,0.038461538461538464,0.007678225981662019
5.0,415.0,10.0,2949.0,0.011904761904761904,0.3333333333333333,0.022988505747126436,0.04230875153562637,0.0,0.0,0.0,0.004613780474434107
0.0,17.0,36.0,3326.0,0.0,0.0,0.0,-0.0073791895834653355,0.0,0.0,0.027777777777777776,0.03876569313887823
14.0,231.0,48.0,3086.0,0.05714285714285714,0.22580645161290322,0.09120521172638436,0.08082027623595549,0.06666666666666667,0.1,0.06451612903225806,0.027338759686307976
2.0,91.0,22.0,3264.0,0.021505376344086023,0.08333333333333333,0.03418803418803419,0.028852763283469206,0.06666666666666667,0.05,0.041666666666666664,0.024056277627392902
3.0,262.0,19.0,3095.0,0.011320754716981131,0.13636363636363635,0.020905923344947733,0.017446391731054264,0.0,0.0,0.0,0.007789307666953596
20.0,564.0,40.0,2755.0,0.03424657534246575,0.3333333333333333,0.06211180124223603,0.05707434912951786,0.06666666666666667,0.05,0.06666666666666667,0.01767941567164469
16.0,465.0,52.0,2846.0,0.033264033264033266,0.23529411764705882,0.058287795992714025,0.03812098701434415,0.0,0.0,0.014705882352941176,0.021377680665682987
0.0,45.0,27.0,3308.0,0.0,0.0,0.0,-0.010423736949915418,0.0,0.0,0.0,0.016350041978909165
2.0,80.0,37.0,3260.0,0.024390243902439025,0.05128205128205128,0.033057851239669415,0.018970468710159387,0.0,0.0,0.0,0.02054083549702356
1.0,60.0,21.0,3297.0,0.01639344262295082,0.045454545454545456,0.024096385542168676,0.016660994062536905,0.0,0.0,0.0,0.01224186505427311
4.0,69.0,18.0,3288.0,0.0547945205479452,0.18181818181818182,0.08421052631578947,0.08920966238289019,0.13333333333333333,0.1,0.09090909090909091,0.01950965094176324
5.0,355.0,9.0,3010.0,0.013888888888888888,0.35714285714285715,0.0267379679144385,0.052391664856801134,0.0,0.0,0.0,0.004417917182583599
4.0,249.0,37.0,3089.0,0.015810276679841896,0.0975609756097561,0.027210884353741496,0.009553324704100441,0.0,0.0,0.0,0.016690591247692513
2.0,72.0,27.0,3278.0,0.02702702702702703,0.06896551724137931,0.03883495145631068,0.02992032484670525,0.06666666666666667,0.1,0.06896551724137931,0.015213801895235322
0.0,13.0,18.0,3348.0,0.0,0.0,0.0,-0.004547959793741853,0.0,0.0,0.0,0.043793608955670034
3.0,78.0,45.0,3253.0,0.037037037037037035,0.0625,0.046511627906976744,0.03023672531091085,0.0,0.0,0.020833333333333332,0.0308190713040631
0.0,5.0,19.0,3355.0,0.0,0.0,0.0,-0.0028948070712552544,0.0,0.0,0.0,0.04139843227861222
4.0,74.0,15.0,3286.0,0.05128205128205128,0.21052631578947367,0.08247422680412371,0.09386279979760359,0.06666666666666667,0.1,0.10526315789473684,0.011934485379703264
12.0,930.0,9.0,2428.0,0.012738853503184714,0.5714285714285714,0.024922118380062308,0.05161187543328241,0.06666666666666667,0.05,0.047619047619047616,0.005637084928137106
0.0,6.0,21.0,3352.0,0.0,0.0,0.0,-0.003335314227632823,0.0,0.0,0.0,0.03028756887655555
1.0,31.0,28.0,3319.0,0.03125,0.034482758620689655,0.03278688524590164,0.024028079679719667,0.06666666666666667,0.05,0.034482758620689655,0.03362191066450259
1.0,26.0,28.0,3324.0,0.037037037037037035,0.034482758620689655,0.03571428571428571,0.027685310498020508,0.0,0.05,0.034482758620689655,0.03426571927699128
25.0,746.0,41.0,2567.0,0.0324254215304799,0.3787878787878788,0.059737156511350066,0.05065629310727955,0.0,0.0,0.015151515151515152,0.01881839768828368
0.0,108.0,16.0,3255.0,0.0,0.0,0.0,-0.01253337873287219,0.0,0.0,0.0,0.010957699887104237
0.0,1.0,16.0,3362.0,0.0,0.0,0.0,-0.0011867704800386301,0.0,0.0,0.0,0.07641024457797733
11.0,814.0,12.0,2542.0,0.013333333333333334,0.4782608695652174,0.0259433962264151,0.045114471647612724,0.0,0.0,0.0,0.006595300797231917
1.0,265.0,20.0,3093.0,0.0037593984962406013,0.047619047619047616,0.006968641114982578,-0.009133178828057304,0.0,0.0,0.0,0.009915722690596275
0.0,39.0,17.0,3323.0,0.0,0.0,0.0,-0.007683952583712217,0.0,0.0,0.0,0.007692964637295278
12.0,727.0,32.0,2608.0,0.016238159675236806,0.2727272727272727,0.03065134099616858,0.015011540414093687,0.13333333333333333,0.1,0.06818181818181818,0.012447959262295742
0.0,24.0,13.0,3342.0,0.0,0.0,0.0,-0.005256225380147917,0.0,0.0,0.0,0.008908974942987386
1.0,163.0,37.0,3178.0,0.006097560975609756,0.02631578947368421,0.009900990099009901,-0.01102704946866168,0.0,0.0,0.0,0.01793985744013013
1.0,153.0,30.0,3195.0,0.006493506493506494,0.03225806451612903,0.01081081081081081,-0.006144342497752621,0.0,0.0,0.0,0.018128695713430138
1.0,122.0,14.0,3242.0,0.008130081300813009,0.06666666666666667,0.014492753623188406,0.010790882974212086,0.0,0.0,0.0,0.012946936338557776
0.0,72.0,22.0,3286.0,0.0,0.0,0.0,-0.011941379272811716,0.0,0.0,0.0,0.015623068919133556
1.0,23.0,28.0,3327.0,0.041666666666666664,0.034482758620689655,0.03773584905660377,0.030335236636184097,0.06666666666666667,0.05,0.034482758620689655,0.03511805640331111
2.0,98.0,10.0,3269.0,0.02,0.16666666666666666,0.03571428571428571,0.04828760359617539,0.06666666666666667,0.05,0.0,0.010612005731849956
0.0,18.0,12.0,3349.0,0.0,0.0,0.0,-0.004368889506817513,0.0,0.0,0.0,0.013585249952569432
0.0,31.0,13.0,3335.0,0.0,0.0,0.0,-0.0059800214611395305,0.0,0.0,0.0,0.022821009885207723
3.0,154.0,36.0,3186.0,0.01910828025477707,0.07692307692307693,0.030612244897959183,0.015637208862993694,0.0,0.0,0.0,0.022197692528526165
3.0,112.0,19.0,3245.0,0.02608695652173913,0.13636363636363635,0.043795620437956206,0.045688027651486,0.0,0.05,0.045454545454545456,0.014194934560096103
2.0,80.0,32.0,3265.0,0.024390243902439025,0.058823529411764705,0.034482758620689655,0.022640529908332298,0.0,0.05,0.029411764705882353,0.029230285457852744
1.0,112.0,15.0,3251.0,0.008849557522123894,0.0625,0.015503875968992248,0.01114821788428941,0.0,0.0,0.0,0.009840397848978404
4.0,244.0,51.0,3080.0,0.016129032258064516,0.07272727272727272,0.026402640264026403,-0.000329111045857661,0.0,0.0,0.01818181818181818,0.028380711493360782
21.0,531.0,45.0,2782.0,0.03804347826086957,0.3181818181818182,0.0679611650485437,0.059107653121514114,0.0,0.05,0.030303030303030304,0.018583273620645588
3.0,63.0,28.0,3285.0,0.045454545454545456,0.0967741935483871,0.0618556701030928,0.05370886118079976,0.06666666666666667,0.05,0.06451612903225806,0.04264700556943089
8.0,318.0,27.0,3026.0,0.024539877300613498,0.22857142857142856,0.0443213296398892,0.04577172444419458,0.0,0.0,0.0,0.010608266771021347
0.0,25.0,12.0,3342.0,0.0,0.0,0.0,-0.005154155773283154,0.0,0.0,0.0,0.010371919870170472
5.0,155.0,52.0,3167.0,0.03125,0.08771929824561403,0.04608294930875576,0.024896751018172524,0.13333333333333333,0.1,0.03508771929824561,0.033422298886885915
3.0,150.0,35.0,3191.0,0.0196078431372549,0.07894736842105263,0.031413612565445025,0.01726940213004385,0.0,0.0,0.0,0.01736315997440616
0.0,95.0,17.0,3267.0,0.0,0.0,0.0,-0.012094441955356496,0.0,0.0,0.0,0.010766759392149432
0.0,45.0,13.0,3321.0,0.0,0.0,0.0,-0.00722001466139875,0.0,0.0,0.0,0.0165561599998711
4.0,147.0,26.0,3203.0,0.026490066225165563,0.13333333333333333,0.04419889502762431,0.04061198009937734,0.0,0.0,0.0,0.018410078807240528
6.0,460.0,16.0,2897.0,0.012875536480686695,0.2727272727272727,0.024590163934426233,0.03165222080648779,0.0,0.0,0.0,0.006580344325322484
0.0,91.0,14.0,3274.0,0.0,0.0,0.0,-0.010730656065970538,0.0,0.0,0.0,0.01051352332070366
12.0,322.0,25.0,3020.0,0.03592814371257485,0.32432432432432434,0.06469002695417789,0.07949212543562331,0.0,0.0,0.0,0.010968777308450533
4.0,41.0,37.0,3297.0,0.08888888888888889,0.0975609756097561,0.09302325581395349,0.08144865554387246,0.13333333333333333,0.15,0.0975609756097561,0.046275422128326936
0.0,4.0,17.0,3358.0,0.0,0.0,0.0,-0.0024480411470214018,0.0,0.0,0.0,0.05078664024074792
3.0,220.0,17.0,3139.0,0.013452914798206279,0.15,0.02469135802469136,0.02610826220614875,0.0,0.0,0.0,0.010674867691770666
11.0,414.0,39.0,2915.0,0.02588235294117647,0.22,0.04631578947368421,0.03482364063829621,0.0,0.0,0.02,0.018520399573911536
0.0,40.0,22.0,3317.0,0.0,0.0,0.0,-0.008860484209036143,0.0,0.0,0.0,0.013520266561177807
5.0,392.0,12.0,2971.0,0.012594458438287154,0.29411764705882354,0.02415458937198068,0.03901207526036839,0.06666666666666667,0.05,0.058823529411764705,0.0049187386249760325
