tp,fp,fn,tn,precision,recall,f_measure,mcc
0,0,26,3353,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,63,3316,0.0,0.0,0.0,0.0
0,0,27,3353,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,15,3365,0.0,0.0,0.0,0.0
0,0,45,3334,0.0,0.0,0.0,0.0
0,0,16,3364,0.0,0.0,0.0,0.0
0,0,38,3341,0.0,0.0,0.0,0.0
0,0,63,3316,0.0,0.0,0.0,0.0
0,0,30,3349,0.0,0.0,0.0,0.0
0,0,30,3350,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,37,3342,0.0,0.0,0.0,0.0
0,0,37,3342,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,34,3345,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,28,3351,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,25,3354,0.0,0.0,0.0,0.0
0,0,16,3364,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,26,3353,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,0,62,3317,0.0,0.0,0.0,0.0
0,0,24,3355,0.0,0.0,0.0,0.0
0,1,22,3356,0.0,0.0,0.0,-0.0013928548063871571
0,0,60,3319,0.0,0.0,0.0,0.0
0,0,68,3311,0.0,0.0,0.0,0.0
0,0,27,3353,0.0,0.0,0.0,0.0
0,0,39,3340,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,41,3338,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,48,3331,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,66,3313,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,44,3335,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,38,3341,0.0,0.0,0.0,0.0
0,0,31,3348,0.0,0.0,0.0,0.0
0,1,15,3363,0.0,0.0,0.0,-0.0011489147719914296
0,0,22,3358,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,1,12,3366,0.0,0.0,0.0,-0.0010271627047483381
0,0,12,3367,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,39,3340,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,34,3345,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,55,3324,0.0,0.0,0.0,0.0
0,0,66,3313,0.0,0.0,0.0,0.0
0,0,31,3348,0.0,0.0,0.0,0.0
0,0,35,3344,0.0,0.0,0.0,0.0
1,1,11,3366,0.5,0.08333333333333333,0.14285714285714285,0.20309527287291806
0,1,57,3321,0.0,0.0,0.0,-0.00225376064582406
0,0,38,3341,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,2,13,3364,0.0,0.0,0.0,-0.0015123910124234584
0,0,30,3350,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,37,3342,0.0,0.0,0.0,0.0
0,0,41,3338,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
0,0,50,3329,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,17,3363,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
1,1,13,3364,0.5,0.07142857142857142,0.125,0.18786131048461052
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,1,23,3355,0.0,0.0,0.0,-0.0014243709881843502
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
1,0,18,3361,1.0,0.05263157894736842,0.1,0.22880386684389392
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,57,3322,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,66,3313,0.0,0.0,0.0,0.0
0,0,27,3353,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,2,15,3363,0.0,0.0,0.0,-0.0016245694065603984
0,0,59,3320,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,27,3352,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,1,17,3362,0.0,0.0,0.0,-0.0012231139828915482
1,0,14,3365,1.0,0.06666666666666667,0.125,0.2576634448727935
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,33,3346,0.0,0.0,0.0,0.0
0,2,15,3363,0.0,0.0,0.0,-0.0016245694065603984
0,0,43,3336,0.0,0.0,0.0,0.0
0,1,44,3334,0.0,0.0,0.0,-0.001976280550177758
1,0,26,3352,1.0,0.037037037037037035,0.07142857142857142,0.19170802818942131
1,0,12,3366,1.0,0.07692307692307693,0.14285714285714288,0.2768570308815946
1,0,25,3353,1.0,0.038461538461538464,0.07407407407407407,0.19538907645113987
0,1,26,3352,0.0,0.0,0.0,-0.001515095731503023
0,0,26,3353,0.0,0.0,0.0,0.0
1,1,25,3352,0.5,0.038461538461538464,0.07142857142857144,0.13710990250323044
0,0,26,3353,0.0,0.0,0.0,0.0
0,0,37,3342,0.0,0.0,0.0,0.0
0,0,37,3342,0.0,0.0,0.0,0.0
0,0,37,3342,0.0,0.0,0.0,0.0
0,0,37,3342,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,25,3355,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,56,3324,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,41,3338,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,20,3360,0.0,0.0,0.0,0.0
0,0,34,3345,0.0,0.0,0.0,0.0
0,0,27,3353,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,22,3357,0.0,0.0,0.0,0.0
0,1,39,3339,0.0,0.0,0.0,-0.001859213428496536
0,1,22,3356,0.0,0.0,0.0,-0.0013928548063871571
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,17,3362,0.0,0.0,0.0,0.0
0,0,35,3344,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
1,0,21,3357,1.0,0.045454545454545456,0.08695652173913045,0.2125369811382585
0,0,22,3357,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,66,3313,0.0,0.0,0.0,0.0
0,0,30,3349,0.0,0.0,0.0,0.0
0,0,20,3359,0.0,0.0,0.0,0.0
1,0,13,3365,1.0,0.07142857142857142,0.13333333333333333,0.26674647794913076
0,0,16,3364,0.0,0.0,0.0,0.0
0,0,38,3341,0.0,0.0,0.0,0.0
0,0,31,3348,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,1,13,3365,0.0,0.0,0.0,-0.0010692636367976023
0,2,31,3346,0.0,0.0,0.0,-0.0023417341520265912
0,0,66,3313,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,56,3323,0.0,0.0,0.0,0.0
0,1,32,3346,0.0,0.0,0.0,-0.001682353710555128
2,1,19,3357,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.250517888019524
0,0,21,3358,0.0,0.0,0.0,0.0
1,2,16,3360,0.3333333333333333,0.058823529411764705,0.1,0.13832419646337568
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,16,3364,0.0,0.0,0.0,0.0
0,0,22,3358,0.0,0.0,0.0,0.0
0,0,26,3353,0.0,0.0,0.0,0.0
0,0,65,3314,0.0,0.0,0.0,0.0
0,0,30,3350,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,29,3350,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,0,22,3358,0.0,0.0,0.0,0.0
0,0,19,3360,0.0,0.0,0.0,0.0
0,0,15,3364,0.0,0.0,0.0,0.0
0,0,21,3358,0.0,0.0,0.0,0.0
0,0,16,3363,0.0,0.0,0.0,0.0
0,0,36,3343,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,66,3313,0.0,0.0,0.0,0.0
0,1,14,3364,0.0,0.0,0.0,-0.0011097921816605738
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,66,3313,0.0,0.0,0.0,0.0
4,2,21,3352,0.6666666666666666,0.16,0.25806451612903225,0.3244637083719899
0,0,66,3313,0.0,0.0,0.0,0.0
0,0,23,3356,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,32,3347,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,14,3365,0.0,0.0,0.0,0.0
0,0,18,3361,0.0,0.0,0.0,0.0
0,0,13,3366,0.0,0.0,0.0,0.0
0,0,26,3347,0.0,0.0,0.0,0.0
0,0,16,3357,0.0,0.0,0.0,0.0
0,0,62,3311,0.0,0.0,0.0,0.0
0,0,27,3347,0.0,0.0,0.0,0.0
1,0,21,3351,1.0,0.045454545454545456,0.08695652173913045,0.2125357982673296
0,0,15,3359,0.0,0.0,0.0,0.0
0,0,45,3328,0.0,0.0,0.0,0.0
0,0,16,3358,0.0,0.0,0.0,0.0
0,0,38,3335,0.0,0.0,0.0,0.0
0,0,63,3311,0.0,0.0,0.0,0.0
0,0,29,3344,0.0,0.0,0.0,0.0
0,0,29,3344,0.0,0.0,0.0,0.0
1,2,27,3343,0.3333333333333333,0.03571428571428571,0.06451612903225806,0.10688363590641316
1,0,37,3336,1.0,0.02631578947368421,0.05128205128205127,0.16132922669059868
0,0,38,3336,0.0,0.0,0.0,0.0
0,0,13,3360,0.0,0.0,0.0,0.0
1,0,33,3339,1.0,0.029411764705882353,0.05714285714285715,0.17065733840339695
0,0,32,3342,0.0,0.0,0.0,0.0
0,0,28,3345,0.0,0.0,0.0,0.0
1,1,13,3358,0.5,0.07142857142857142,0.125,0.18785931233358893
0,0,25,3349,0.0,0.0,0.0,0.0
0,0,16,3358,0.0,0.0,0.0,0.0
1,0,20,3352,1.0,0.047619047619047616,0.0909090909090909,0.21756978102252547
1,0,25,3347,1.0,0.038461538461538464,0.07407407407407407,0.19538778034113036
0,0,15,3358,0.0,0.0,0.0,0.0
0,0,36,3337,0.0,0.0,0.0,0.0
1,0,61,3311,1.0,0.016129032258064516,0.031746031746031744,0.1258461583729893
0,0,24,3349,0.0,0.0,0.0,0.0
0,0,22,3351,0.0,0.0,0.0,0.0
0,0,61,3313,0.0,0.0,0.0,0.0
0,0,68,3305,0.0,0.0,0.0,0.0
0,0,27,3347,0.0,0.0,0.0,0.0
0,0,39,3335,0.0,0.0,0.0,0.0
0,0,22,3351,0.0,0.0,0.0,0.0
0,0,22,3351,0.0,0.0,0.0,0.0
0,0,14,3359,0.0,0.0,0.0,0.0
0,0,41,3332,0.0,0.0,0.0,0.0
0,0,29,3345,0.0,0.0,0.0,0.0
0,0,18,3355,0.0,0.0,0.0,0.0
0,0,48,3325,0.0,0.0,0.0,0.0
0,0,19,3354,0.0,0.0,0.0,0.0
0,0,19,3355,0.0,0.0,0.0,0.0
0,0,21,3353,0.0,0.0,0.0,0.0
0,0,22,3352,0.0,0.0,0.0,0.0
0,0,30,3344,0.0,0.0,0.0,0.0
